m,n,r,GRB_PLS_H_norm_0_mean,GRB_PLS_H_norm_1_mean,GRB_PLS_H_rank_mean,GRB_P1_P3_time_mean,GRB_PLS_time_mean
100,50,25,2408.6,189.88770002099628,47.2,411.62953826,1.08055902
120,60,30,3467.8,244.12756792371314,57.8,1030.66217414,1.77158128
140,70,35,4762.6,314.8052507994763,67.4,-1.0,3.3607150599999995
160,80,40,6161.2,360.9147112906374,76.6,-1.0,6.01983046
180,90,45,7833.0,440.4235893768292,87.0,-1.0,8.543326879999999
200,100,50,9657.6,484.01755578615246,97.0,-1.0,14.9187802
220,110,55,11733.8,590.1176860233966,108.4,-1.0,22.473971499999998
240,120,60,13846.8,668.8173334588822,117.8,-1.0,29.915857319999997
60,30,15,865.4,99.79826606390534,28.4,25.53774086,0.20419285999999998
80,40,20,1533.8,150.62917442445837,39.0,121.97087856,0.42191672
