hatAMP_norm_0,hatAMP_norm1
1465,20.231044492114453
1641,23.743233122408398
1444,25.392011177010495
2147,21.94822874412265
1129,17.061325788822952
1183,20.912191394749094
1829,19.450830365672953
1641,18.948081801429815
2178,28.469848688512442
1521,21.295337393466887
3465,29.26614485964136
2919,28.506998393667622
2710,28.467092306599525
2761,35.69517771764538
2555,30.03021544134675
2956,37.622040662438586
3728,35.97848468930909
3413,34.960849123292995
3027,29.23401710291585
3143,33.56019282499848
912,27.058877601136356
1030,29.60743645819661
1099,24.389517716855597
1027,24.234990838447516
1315,23.452958663297213
956,21.88884297795036
919,23.272259171897346
945,23.213783767565694
898,25.79210429834489
1089,23.691223571386274
3169,37.67266418285652
2812,35.30536983087458
2846,37.12339599325384
2636,39.71721839973661
2743,36.911104859044464
2680,35.614470295327116
2852,35.4208845332092
2133,34.017030573090175
2309,36.27706461807693
2687,33.3311336403028
859,26.554538003938763
857,31.09267318547288
793,25.848977952489754
829,27.298094268162174
951,26.43857122418881
1250,28.73862448821559
1440,25.00346709020951
837,22.875484375182584
835,24.507415511689008
740,26.863412189369846
2254,35.2069298120217
2358,34.40528331574239
2776,35.58730729529537
1877,31.096750768427498
2274,38.7695629827056
2418,36.21278313171656
1950,34.35059303171652
2784,37.70558114964525
2659,35.506083659100476
2123,29.783689961420198
