m,n,r,d,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,GRB_P1_H_norm_0,GRB_P1_H_norm_1,GRB_P1_time,GRB_P1_Sym_H_norm_0,GRB_P1_Sym_H_norm_1,GRB_P1_Sym_time
180,90,15,10,1529,69.56971529205849,1539,75.57150172398882,78,47.571291107684885,12.8766126,78,47.5712911076852,13.382293
180,90,15,10,1526,85.65566684250997,1530,83.27055216151795,112,55.383003016251166,7.6423463,112,55.383003016251344,4.6517501
180,90,15,10,1487,67.3990308420866,1481,71.99008881802308,46,37.03886228167645,22.073916,46,37.03886228167249,9.0953668
180,90,15,10,1497,71.94719119069045,1498,70.78661853195634,95,41.79003397295101,10.7071404,95,41.7900339642385,6.0135034
180,90,15,10,1498,67.50311836649729,1506,65.97394626130234,80,36.248150029605426,17.1712691,80,36.24814995916387,8.0069615
180,90,15,10,1484,61.828573124493545,1502,67.24524715059316,160,45.45799911218267,25.6396084,158,45.457981529087434,14.5769459
180,90,15,10,1513,73.05475512138655,1507,72.03881007894505,79,42.20530488560321,18.2209039,79,42.20530115696229,16.0281957
180,90,15,10,1466,69.1998816840527,1462,73.51538609688345,86,43.17728999200152,17.0093029,87,43.17728050526294,13.8061021
180,90,15,10,1492,74.95489813207541,1484,65.60417539646775,88,43.574428517071354,34.8815012,88,43.57442262157265,18.6084083
180,90,15,10,1510,64.24058366975329,1520,62.59569058610745,95,36.73271855920764,7.3411903,93,36.73271188813813,5.3394336
180,90,15,25,3700,97.00264774403995,3697,104.59559475336661,204,67.4361504893427,90.6250597,204,67.43616342583042,31.4493845
180,90,15,25,3511,99.84000767586099,3532,100.06639268690093,180,46.70750298595759,131.5705681,180,46.70749961392877,37.1305757
180,90,15,25,3349,92.10999982206098,3396,88.22617900737767,192,47.15408851639108,98.3325228,192,47.154087209182606,36.5621667
180,90,15,25,3711,99.44909364171303,3693,93.54498443305908,188,56.7126102270431,112.2079834,188,56.712608128313484,58.825644
180,90,15,25,3743,105.72918272557268,3771,102.51222001487623,183,57.915718177490604,109.9469626,183,57.91571815701376,47.5802421
180,90,15,25,3769,101.42593301673848,3757,98.65877904276881,213,54.59151423347418,84.1608341,213,54.591518876984914,36.1545056
180,90,15,25,3584,97.22637200349762,3593,100.14818871025054,170,50.580741124466364,79.881269,171,50.580731281453296,34.0510012
180,90,15,25,3736,98.25870677129804,3730,101.04218790558826,204,50.493567737336576,120.8210992,204,50.49356773720935,48.5017756
180,90,15,25,3494,92.1687420720326,3426,90.19041058788711,189,59.95996148547049,72.84752,189,59.95995522195196,32.4396832
180,90,15,25,3788,120.802813517472,3799,113.38224831679148,201,81.40059297198319,143.7797093,201,81.40059252262569,42.9862289
180,90,30,10,1518,115.96093083054086,1520,110.86316813264416,204,77.13719446820784,8.7093479,204,77.1371861062011,6.0107894
180,90,30,10,1561,126.79405789979214,1564,131.0027703727303,235,91.49519118738141,12.386777,235,91.49519110998773,8.2203249
180,90,30,10,1566,123.87133146468064,1565,132.28294114232224,347,91.41486031656108,13.6755503,347,91.41490435344117,6.2657582
180,90,30,10,1576,112.8683699249412,1575,122.97319726272052,268,86.09003448579634,11.3398436,267,86.09000669254524,5.192429
180,90,30,10,1509,120.95322516233534,1512,113.95280526727697,178,76.95867908855868,9.9329184,178,76.95863942368133,4.8547255
180,90,30,10,1530,122.46919858277968,1546,124.15558880882882,225,90.28813619583835,7.461768,225,90.28813619559023,6.1369039
180,90,30,10,1518,120.48243139935315,1514,123.46608786987633,407,76.73368716305923,13.5066133,407,76.73367212403893,5.7204297
180,90,30,10,1506,116.19805065646135,1502,118.6290427888236,348,77.76860983499,14.5093002,350,77.76859296598165,10.3481183
180,90,30,10,1491,116.58829939065873,1492,109.59274905631419,366,67.24029672931546,16.9357254,366,67.24021078202168,6.5135587
180,90,30,10,1514,116.31027865570137,1521,120.44477898666146,229,81.4062765317819,9.2589327,230,81.40627607433171,10.5775005
180,90,30,25,3660,168.09987353741468,3646,161.67209612069215,647,108.73555032680687,268.0084325,646,108.73554161420714,67.6048527
180,90,30,25,3820,163.93265145263982,3801,166.26115786728036,720,116.7382370286772,106.5190209,716,116.73825305498521,38.3656826
180,90,30,25,3801,166.11389468345146,3807,168.94518812761828,667,114.90902464796837,132.7624473,669,114.90901352999822,56.7080089
180,90,30,25,3651,154.94197113492976,3675,153.94167180037007,504,83.13864783433509,245.129652,505,83.13861472462719,33.1342145
180,90,30,25,3819,165.10677572228153,3785,176.64289269245285,698,120.85359884036394,118.1824763,698,120.85359006749793,41.6016251
180,90,30,25,3746,157.40469840354015,3755,157.9789511339422,684,96.75453026347222,134.157566,682,96.75452727265743,50.2938577
180,90,30,25,3798,159.482597062656,3796,175.66622139241917,739,105.07139693848121,124.2020932,737,105.0713805839261,42.5760372
180,90,30,25,3804,166.41936434721265,3795,154.39305686868838,678,96.4932963875978,128.7620662,676,96.49327453950566,47.6774471
180,90,30,25,3712,147.5278538241284,3738,149.27226899048753,453,91.3289296191086,94.2012016,451,91.32889571675072,32.8826267
180,90,30,25,3793,152.28776410580238,3803,160.10321957870943,579,89.22920782735781,85.5883149,582,89.22914582002349,28.963561
180,90,45,10,1561,150.4659246507993,1564,156.5567615153493,280,112.81567115910356,7.5819752,281,112.8156835456111,5.7802102
180,90,45,10,1554,156.31992748899364,1553,162.8673712184616,519,113.50269850805726,16.0356725,515,113.50268628676488,14.5471036
180,90,45,10,1573,148.75227222363222,1574,144.45794502838507,723,99.09402839095564,10.1347231,725,99.09397601786281,6.6000078
180,90,45,10,1523,150.44853628309926,1524,154.69117533467147,468,108.83773596439497,9.3880307,466,108.83775714612926,5.167221
180,90,45,10,1560,165.33193757585164,1560,166.7082153381801,500,123.82618491482387,9.4345059,505,123.82622669127366,5.8031096
180,90,45,10,1524,150.09855420436446,1526,152.5857176654858,481,104.49716955689551,8.8599596,483,104.497149280961,6.0486055
180,90,45,10,1516,142.36754881593657,1514,144.83310608629589,425,98.97049012395762,5.3458969,425,98.97049756825017,4.9266001
180,90,45,10,1591,147.54337962927332,1596,152.18140300577076,366,101.8925490160501,9.4097623,364,101.89251855324197,8.5821482
180,90,45,10,1557,165.02416237660225,1556,145.13715216303376,287,103.804467508552,10.4361969,287,103.80446750853605,7.1203243
180,90,45,10,1563,150.0295511174138,1564,154.43578457608533,420,101.34167554928315,16.8455257,420,101.3416968265206,14.3570874
180,90,45,25,3831,211.8153382926222,3812,209.7772447909835,1277,149.48559617040385,180.9668351,1278,149.48561843449997,43.7121826
180,90,45,25,3783,200.4482965092119,3794,212.72182827380703,1014,140.10054923806814,160.821792,1009,140.10060924704766,32.6414688
180,90,45,25,3813,198.916657277158,3796,186.70883102537744,1169,122.00879566204672,541.8834405,1165,122.00861236905072,31.3211636
180,90,45,25,3737,213.15842356193872,3731,195.7290765784416,1126,126.69884792867651,140.1342541,1138,126.69879727346805,54.7986252
180,90,45,25,3772,192.76634006202158,3774,199.05224459458793,1045,139.2095719017965,286.0835744,1038,139.20957923836235,44.0366356
180,90,45,25,3777,211.68878430950062,3773,200.42694445282072,1168,139.96401845637482,293.3510562,1161,139.96404284963964,49.66545
180,90,45,25,3821,222.02362796261446,3835,227.2669976523057,1027,150.81887044145478,115.6314465,1027,150.81876523476413,50.9558934
180,90,45,25,3897,210.24998631420826,3893,220.74877152897417,921,132.2592053013904,132.0691713,922,132.25911801444295,40.5656814
180,90,45,25,3785,210.0944623750674,3791,202.3086434462824,1085,129.8029613852015,126.1759257,1088,129.80296388991107,35.9097388
180,90,45,25,3743,215.4962318012275,3738,210.94456152774245,1264,140.07120106308562,220.1347017,1252,140.0711824313048,45.0961847
